round,date,grand_prix,winner,team,time
1,2025-03-16,Australia,Lando Norris,McLaren,1:42:06.304
2,2025-03-23,China,Oscar Piastri,McLaren,1:30:55.026
3,2025-04-06,Japan,Max Verstappen,Red Bull,1:22:06.983
4,2025-04-13,Bahrain,Oscar Piastri,McLaren,1:35:39.435
5,2025-04-20,Saudi Arabia,Oscar Piastri,McLaren,1:21:06.758
6,2025-05-04,Miami,Oscar Piastri,McLaren,1:28:51.587
7,2025-05-18,Emilia-Romagna,Max Verstappen,Red Bull,1:31:33.199
8,2025-05-25,Monaco,Lando Norris,McLaren,1:40:33.843
9,2025-06-01,Spain,Oscar Piastri,McLaren,1:32:57.375
10,2025-06-15,Canada,George Russell,Mercedes,1:31:52.688
11,2025-06-29,Austria,Lando Norris,McLaren,1:23:47.693
12,2025-07-06,Great Britain,Lando Norris,McLaren,1:37:15.735
13,2025-07-27,Belgium,Oscar Piastri,McLaren,1:25:22.601
14,2025-08-03,Hungary,Lando Norris,McLaren,1:35:21.231
15,2025-08-31,Netherlands,Oscar Piastri,McLaren,1:38:29.849
16,2025-09-07,Italy,Max Verstappen,Red Bull,1:13:24.325
17,2025-09-21,Azerbaijan,Max Verstappen,Red Bull,1:33:26.408
18,2025-10-05,Singapore,George Russell,Mercedes,1:40:22.367
19,2025-10-19,United States,Max Verstappen,Red Bull,1:34:00.161
20,2025-10-26,Mexico,Lando Norris,McLaren,1:37:58.574
21,2025-11-09,Brazil,Lando Norris,McLaren,1:32:01.596
22,2025-11-22,Las Vegas,Max Verstappen,Red Bull,1:21:08.429
23,2025-11-30,Qatar,Max Verstappen,Red Bull,1:24:38.241
24,2025-12-07,Abu Dhabi,Max Verstappen,Red Bull,1:26:07.469
